    -1
1|749|31|1|0|0|0|0|2
2|756|64|0|1|0|0|0|3
3|759|58|0|1|0|0|0|4
4|766|35|0|0|0|0|0|5
5|755|35|0|0|0|0|0|6
6|743|37|7|0|1|0|0|7
7|749|55|1|1|0|0|0|8
8|752|47|0|0|0|0|0|9
9|749|64|1|1|0|0|0|10
10|743|14|7|0|1|0|0|11
11|739|0.06|11|1|1|0|0|12
12|746|32|4|0|0|0|0|13
13|750|6|0|0|0|0|0|14
14|755|0.07|0|8|0|0|0|15
15|733|23|17|0|1|0|0|16
16|758|7|0|0|0|0|0|17
17|736|0.07|14|8|1|0|0|18
18|747|3|3|0|0|0|0|19
19|750|0.02|0|0|0|0|0|20
20|754|2|0|0|0|0|0|21
21|744|73|6|8|1|0|0|22
22|748|42|2|0|0|0|0|23
23|755|0.07|0|8|0|0|0|24
24|761|61|0|1|0|0|0|25
25|750|0.01|0|0|0|0|0|26
26|744|22|6|0|1|0|0|27
27|747|55|3|0|0|0|0|28
28|748|15|2|0|0|0|0|29
29|749|32|1|0|0|0|0|30
30|747|69|3|8|0|0|0|31
